Lower layer Super Output Areas Code,Lower layer Super Output Areas,Economic activity status,Observation
E01011266,Leeds 008A,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,9
E01011266,Leeds 008A,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,62
E01011266,Leeds 008A,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,56
E01011266,Leeds 008A,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,98
E01011266,Leeds 008A,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,21
E01011266,Leeds 008A,Economically active and a full-time student: In employment: Employee: Part-time,14
E01011266,Leeds 008A,Economically active and a full-time student: In employment: Employee: Full-time,5
E01011266,Leeds 008A,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011266,Leeds 008A,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,1
E01011266,Leeds 008A,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,3
E01011266,Leeds 008A,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011266,Leeds 008A,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,4
E01011266,Leeds 008A,Economically active and a full-time student,27
E01011266,Leeds 008A,Economically inactive: Retired,472
E01011266,Leeds 008A,Economically inactive: Student,68
E01011266,Leeds 008A,Economically inactive: Looking after home or family,51
E01011266,Leeds 008A,Economically inactive: Long-term sick or disabled,21
E01011266,Leeds 008A,Economically inactive: Other,32
E01011267,Leeds 009B,Does not apply,337
E01011267,Leeds 009B,Economically active (excluding full-time students): In employment: Employee: Part-time,162
E01011267,Leeds 009B,Economically active (excluding full-time students): In employment: Employee: Full-time,470
E01011267,Leeds 009B,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,2
E01011267,Leeds 009B,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,12
E01011267,Leeds 009B,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,45
E01011267,Leeds 009B,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,58
E01011267,Leeds 009B,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,29
E01011267,Leeds 009B,Economically active and a full-time student: In employment: Employee: Part-time,13
E01011267,Leeds 009B,Economically active and a full-time student: In employment: Employee: Full-time,2
E01011267,Leeds 009B,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011267,Leeds 009B,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011267,Leeds 009B,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011267,Leeds 009B,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011267,Leeds 009B,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,5
E01011267,Leeds 009B,Economically active and a full-time student,20
E01011267,Leeds 009B,Economically inactive: Retired,357
E01011267,Leeds 009B,Economically inactive: Student,68
E01011267,Leeds 009B,Economically inactive: Looking after home or family,42
E01011267,Leeds 009B,Economically inactive: Long-term sick or disabled,66
E01011267,Leeds 009B,Economically inactive: Other,33
E01011268,Leeds 010A,Does not apply,295
E01011268,Leeds 010A,Economically active (excluding full-time students): In employment: Employee: Part-time,162
E01011268,Leeds 010A,Economically active (excluding full-time students): In employment: Employee: Full-time,390
E01011268,Leeds 010A,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,1
E01011268,Leeds 010A,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,10
E01011268,Leeds 010A,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,25
E01011268,Leeds 010A,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,35
E01011268,Leeds 010A,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,39
E01011268,Leeds 010A,Economically active and a full-time student: In employment: Employee: Part-time,14
E01011268,Leeds 010A,Economically active and a full-time student: In employment: Employee: Full-time,1
E01011268,Leeds 010A,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011268,Leeds 010A,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011268,Leeds 010A,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011268,Leeds 010A,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011268,Leeds 010A,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2
E01011268,Leeds 010A,Economically active and a full-time student,17
E01011268,Leeds 010A,Economically inactive: Retired,204
E01011268,Leeds 010A,Economically inactive: Student,40
E01011268,Leeds 010A,Economically inactive: Looking after home or family,57
E01011268,Leeds 010A,Economically inactive: Long-term sick or disabled,79
E01011268,Leeds 010A,Economically inactive: Other,41
E01011269,Leeds 011B,Does not apply,241
E01011269,Leeds 011B,Economically active (excluding full-time students): In employment: Employee: Part-time,172
E01011269,Leeds 011B,Economically active (excluding full-time students): In employment: Employee: Full-time,471
E01011269,Leeds 011B,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,5
E01011269,Leeds 011B,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,15
E01011269,Leeds 011B,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,38
E01011269,Leeds 011B,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,51
E01011269,Leeds 011B,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,23
E01011269,Leeds 011B,Economically active and a full-time student: In employment: Employee: Part-time,14
E01011269,Leeds 011B,Economically active and a full-time student: In employment: Employee: Full-time,3
E01011269,Leeds 011B,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011269,Leeds 011B,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011269,Leeds 011B,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011269,Leeds 011B,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011269,Leeds 011B,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2
E01011269,Leeds 011B,Economically active and a full-time student,19
E01011269,Leeds 011B,Economically inactive: Retired,373
E01011269,Leeds 011B,Economically inactive: Student,39
E01011269,Leeds 011B,Economically inactive: Looking after home or family,24
E01011269,Leeds 011B,Economically inactive: Long-term sick or disabled,56
E01011269,Leeds 011B,Economically inactive: Other,41
E01011270,Leeds 008B,Does not apply,317
E01011270,Leeds 008B,Economically active (excluding full-time students): In employment: Employee: Part-time,166
E01011270,Leeds 008B,Economically active (excluding full-time students): In employment: Employee: Full-time,445
E01011270,Leeds 008B,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,5
E01011270,Leeds 008B,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,31
E01011270,Leeds 008B,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,57
E01011270,Leeds 008B,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,64
E01011270,Leeds 008B,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,10
E01011270,Leeds 008B,Economically active and a full-time student: In employment: Employee: Part-time,13
E01011270,Leeds 008B,Economically active and a full-time student: In employment: Employee: Full-time,3
E01011270,Leeds 008B,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011270,Leeds 008B,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011270,Leeds 008B,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011270,Leeds 008B,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011270,Leeds 008B,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,7
E01011270,Leeds 008B,Economically active and a full-time student,23
E01011270,Leeds 008B,Economically inactive: Retired,490
E01011270,Leeds 008B,Economically inactive: Student,48
E01011270,Leeds 008B,Economically inactive: Looking after home or family,39
E01011270,Leeds 008B,Economically inactive: Long-term sick or disabled,12
E01011270,Leeds 008B,Economically inactive: Other,14
E01011271,Leeds 009C,Does not apply,461
E01011271,Leeds 009C,Economically active (excluding full-time students): In employment: Employee: Part-time,204
E01011271,Leeds 009C,Economically active (excluding full-time students): In employment: Employee: Full-time,691
E01011271,Leeds 009C,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,11
E01011271,Leeds 009C,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,12
E01011271,Leeds 009C,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,62
E01011271,Leeds 009C,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,62
E01011271,Leeds 009C,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,33
E01011271,Leeds 009C,Economically active and a full-time student: In employment: Employee: Part-time,26
E01011271,Leeds 009C,Economically active and a full-time student: In employment: Employee: Full-time,5
E01011271,Leeds 009C,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011271,Leeds 009C,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011271,Leeds 009C,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011271,Leeds 009C,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011271,Leeds 009C,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,9
E01011271,Leeds 009C,Economically active and a full-time student,40
E01011271,Leeds 009C,Economically inactive: Retired,452
E01011271,Leeds 009C,Economically inactive: Student,51
E01011271,Leeds 009C,Economically inactive: Looking after home or family,40
E01011271,Leeds 009C,Economically inactive: Long-term sick or disabled,20
E01011271,Leeds 009C,Economically inactive: Other,32
E01011272,Leeds 009D,Does not apply,279
E01011272,Leeds 009D,Economically active (excluding full-time students): In employment: Employee: Part-time,169
E01011272,Leeds 009D,Economically active (excluding full-time students): In employment: Employee: Full-time,447
E01011272,Leeds 009D,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,1
E01011272,Leeds 009D,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,13
E01011272,Leeds 009D,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,28
E01011272,Leeds 009D,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,37
E01011272,Leeds 009D,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,27
E01011272,Leeds 009D,Economically active and a full-time student: In employment: Employee: Part-time,12
E01011272,Leeds 009D,Economically active and a full-time student: In employment: Employee: Full-time,3
E01011272,Leeds 009D,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011272,Leeds 009D,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011272,Leeds 009D,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011272,Leeds 009D,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,1
E01011272,Leeds 009D,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,8
E01011272,Leeds 009D,Economically active and a full-time student,24
E01011272,Leeds 009D,Economically inactive: Retired,328
E01011272,Leeds 009D,Economically inactive: Student,49
E01011272,Leeds 009D,Economically inactive: Looking after home or family,21
E01011272,Leeds 009D,Economically inactive: Long-term sick or disabled,9
E01011272,Leeds 009D,Economically inactive: Other,21
E01011273,Leeds 010B,Does not apply,237
E01011273,Leeds 010B,Economically active (excluding full-time students): In employment: Employee: Part-time,147
E01011273,Leeds 010B,Economically active (excluding full-time students): In employment: Employee: Full-time,522
E01011273,Leeds 010B,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,4
E01011273,Leeds 010B,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,7
E01011273,Leeds 010B,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,56
E01011273,Leeds 010B,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,40
E01011273,Leeds 010B,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,27
E01011273,Leeds 010B,Economically active and a full-time student: In employment: Employee: Part-time,18
E01011273,Leeds 010B,Economically active and a full-time student: In employment: Employee: Full-time,3
E01011273,Leeds 010B,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011273,Leeds 010B,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011273,Leeds 010B,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011273,Leeds 010B,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011273,Leeds 010B,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,3
E01011273,Leeds 010B,Economically active and a full-time student,24
E01011273,Leeds 010B,Economically inactive: Retired,293
E01011273,Leeds 010B,Economically inactive: Student,33
E01011273,Leeds 010B,Economically inactive: Looking after home or family,32
E01011273,Leeds 010B,Economically inactive: Long-term sick or disabled,35
E01011273,Leeds 010B,Economically inactive: Other,25
E01011274,Leeds 010C,Does not apply,254
E01011274,Leeds 010C,Economically active (excluding full-time students): In employment: Employee: Part-time,140
E01011274,Leeds 010C,Economically active (excluding full-time students): In employment: Employee: Full-time,362
E01011274,Leeds 010C,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,1
E01011274,Leeds 010C,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,5
E01011274,Leeds 010C,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,26
E01011274,Leeds 010C,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,39
E01011274,Leeds 010C,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,50
E01011274,Leeds 010C,Economically active and a full-time student: In employment: Employee: Part-time,12
E01011274,Leeds 010C,Economically active and a full-time student: In employment: Employee: Full-time,2
E01011274,Leeds 010C,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011274,Leeds 010C,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,1
E01011274,Leeds 010C,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011274,Leeds 010C,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011274,Leeds 010C,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,17
E01011274,Leeds 010C,Economically active and a full-time student,32
E01011274,Leeds 010C,Economically inactive: Retired,286
E01011274,Leeds 010C,Economically inactive: Student,33
E01011274,Leeds 010C,Economically inactive: Looking after home or family,36
E01011274,Leeds 010C,Economically inactive: Long-term sick or disabled,71
E01011274,Leeds 010C,Economically inactive: Other,23
E01011275,Leeds 010D,Does not apply,291
E01011275,Leeds 010D,Economically active (excluding full-time students): In employment: Employee: Part-time,157
E01011275,Leeds 010D,Economically active (excluding full-time students): In employment: Employee: Full-time,388
E01011275,Leeds 010D,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,6
E01011275,Leeds 010D,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,8
E01011275,Leeds 010D,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,24
E01011275,Leeds 010D,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,56
E01011275,Leeds 010D,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,21
E01011275,Leeds 010D,Economically active and a full-time student: In employment: Employee: Part-time,12
E01011275,Leeds 010D,Economically active and a full-time student: In employment: Employee: Full-time,3
E01011275,Leeds 010D,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011275,Leeds 010D,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011275,Leeds 010D,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,1
E01011275,Leeds 010D,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011275,Leeds 010D,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,4
E01011275,Leeds 010D,Economically active and a full-time student,20
E01011275,Leeds 010D,Economically inactive: Retired,292
E01011275,Leeds 010D,Economically inactive: Student,39
E01011275,Leeds 010D,Economically inactive: Looking after home or family,35
E01011275,Leeds 010D,Economically inactive: Long-term sick or disabled,46
E01011275,Leeds 010D,Economically inactive: Other,26
E01011276,Leeds 011C,Does not apply,288
E01011276,Leeds 011C,Economically active (excluding full-time students): In employment: Employee: Part-time,179
E01011276,Leeds 011C,Economically active (excluding full-time students): In employment: Employee: Full-time,593
E01011276,Leeds 011C,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,7
E01011276,Leeds 011C,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,19
E01011276,Leeds 011C,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,54
E01011276,Leeds 011C,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,57
E01011276,Leeds 011C,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,26
E01011276,Leeds 011C,Economically active and a full-time student: In employment: Employee: Part-time,9
E01011276,Leeds 011C,Economically active and a full-time student: In employment: Employee: Full-time,3
E01011276,Leeds 011C,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011276,Leeds 011C,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011276,Leeds 011C,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011276,Leeds 011C,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011276,Leeds 011C,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,3
E01011276,Leeds 011C,Economically active and a full-time student,15
E01011276,Leeds 011C,Economically inactive: Retired,386
E01011276,Leeds 011C,Economically inactive: Student,35
E01011276,Leeds 011C,Economically inactive: Looking after home or family,23
E01011276,Leeds 011C,Economically inactive: Long-term sick or disabled,19
E01011276,Leeds 011C,Economically inactive: Other,30
E01011277,Leeds 014A,Does not apply,334
E01011277,Leeds 014A,Economically active (excluding full-time students): In employment: Employee: Part-time,171
E01011277,Leeds 014A,Economically active (excluding full-time students): In employment: Employee: Full-time,594
E01011277,Leeds 014A,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,0
E01011277,Leeds 014A,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,13
E01011277,Leeds 014A,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,32
E01011277,Leeds 014A,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,57
E01011277,Leeds 014A,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,29
E01011277,Leeds 014A,Economically active and a full-time student: In employment: Employee: Part-time,20
E01011277,Leeds 014A,Economically active and a full-time student: In employment: Employee: Full-time,0
E01011277,Leeds 014A,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011277,Leeds 014A,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011277,Leeds 014A,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011277,Leeds 014A,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011277,Leeds 014A,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,6
E01011277,Leeds 014A,Economically active and a full-time student,26
E01011277,Leeds 014A,Economically inactive: Retired,215
E01011277,Leeds 014A,Economically inactive: Student,55
E01011277,Leeds 014A,Economically inactive: Looking after home or family,34
E01011277,Leeds 014A,Economically inactive: Long-term sick or disabled,25
E01011277,Leeds 014A,Economically inactive: Other,21
E01011278,Leeds 014B,Does not apply,265
E01011278,Leeds 014B,Economically active (excluding full-time students): In employment: Employee: Part-time,184
E01011278,Leeds 014B,Economically active (excluding full-time students): In employment: Employee: Full-time,568
E01011278,Leeds 014B,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,5
E01011278,Leeds 014B,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,15
E01011278,Leeds 014B,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,42
E01011278,Leeds 014B,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,59
E01011278,Leeds 014B,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,19
E01011278,Leeds 014B,Economically active and a full-time student: In employment: Employee: Part-time,17
E01011278,Leeds 014B,Economically active and a full-time student: In employment: Employee: Full-time,4
E01011278,Leeds 014B,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,1
E01011278,Leeds 014B,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011278,Leeds 014B,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,1
E01011278,Leeds 014B,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,1
E01011278,Leeds 014B,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,6
E01011278,Leeds 014B,Economically active and a full-time student,30
E01011278,Leeds 014B,Economically inactive: Retired,333
E01011278,Leeds 014B,Economically inactive: Student,39
E01011278,Leeds 014B,Economically inactive: Looking after home or family,20
E01011278,Leeds 014B,Economically inactive: Long-term sick or disabled,30
E01011278,Leeds 014B,Economically inactive: Other,14
E01011279,Leeds 008C,Does not apply,230
E01011279,Leeds 008C,Economically active (excluding full-time students): In employment: Employee: Part-time,136
E01011279,Leeds 008C,Economically active (excluding full-time students): In employment: Employee: Full-time,383
E01011279,Leeds 008C,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,4
E01011279,Leeds 008C,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,15
E01011279,Leeds 008C,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,32
E01011279,Leeds 008C,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,49
E01011279,Leeds 008C,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,13
E01011279,Leeds 008C,Economically active and a full-time student: In employment: Employee: Part-time,8
E01011279,Leeds 008C,Economically active and a full-time student: In employment: Employee: Full-time,3
E01011279,Leeds 008C,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,1
E01011279,Leeds 008C,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011279,Leeds 008C,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011279,Leeds 008C,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011279,Leeds 008C,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,7
E01011279,Leeds 008C,Economically active and a full-time student,19
E01011279,Leeds 008C,Economically inactive: Retired,350
E01011279,Leeds 008C,Economically inactive: Student,38
E01011279,Leeds 008C,Economically inactive: Looking after home or family,21
E01011279,Leeds 008C,Economically inactive: Long-term sick or disabled,19
E01011279,Leeds 008C,Economically inactive: Other,9
E01011280,Leeds 008D,Does not apply,420
E01011280,Leeds 008D,Economically active (excluding full-time students): In employment: Employee: Part-time,210
E01011280,Leeds 008D,Economically active (excluding full-time students): In employment: Employee: Full-time,682
E01011280,Leeds 008D,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,3
E01011280,Leeds 008D,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,25
E01011280,Leeds 008D,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,59
E01011280,Leeds 008D,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,82
E01011280,Leeds 008D,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,23
E01011280,Leeds 008D,Economically active and a full-time student: In employment: Employee: Part-time,19
E01011280,Leeds 008D,Economically active and a full-time student: In employment: Employee: Full-time,1
E01011280,Leeds 008D,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011280,Leeds 008D,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011280,Leeds 008D,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,3
